,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
523,active,1605129449,1,1,0,0,0,3377,25,1,0,False,3377,,,1605139205,1605139205,0,0
524,active,1605138491,1,1,0,0,28,3378,0,1,0,False,3378,,,1605139205,1605139205,1,0
525,active,1605134566,1,1,0,0,7,3379,28,1,0,False,3379,,,1605139205,1605139205,0,3
526,active,1605137792,1,1,0,0,3,3381,18,1,0,False,3381,,,1605139205,1605139205,0,0
527,active,1605137920,1,1,0,0,7,3382,24,1,4,False,3382,,,1605139205,1605139205,0,0
528,active,1605138959,1,1,0,2,22,3383,1,1,1,False,3383,,,1605139205,1605139205,2,0
529,active,1605137806,1,1,0,0,16,3384,9,1,4,False,3384,,,1605139205,1605139205,0,0
530,active,1605136914,1,1,0,0,21,3386,6,1,3,False,3386,,,1605139205,1605139205,1,0
531,active,1605138554,1,1,1,1,1,3387,22,1,1,False,3387,,,1605139205,1605139205,1,0
532,active,1605139088,1,1,0,0,1,3388,24,1,1,False,3388,,,1605139205,1605139205,1,0
533,active,1605138686,1,1,0,2,6,3389,20,1,2,False,3389,,,1605139205,1605139205,0,1
534,active,1605139201,1,1,0,2,5,3390,17,1,0,False,3390,,,1605139205,1605139205,0,0
535,active,1605138874,1,1,0,1,6,3391,18,1,1,False,3391,,,1605139205,1605139205,0,0
536,active,1605137428,1,1,0,1,6,3392,12,1,0,False,3392,,,1605139205,1605139205,0,0
537,active,1605134493,1,1,0,0,3,3393,16,1,0,False,3393,,,1605139205,1605139205,0,0
538,active,1605137104,1,1,0,0,4,3394,17,1,1,False,3394,,,1605139205,1605139205,0,1
539,active,1605135882,1,1,0,0,1,3395,18,1,1,False,3395,,,1605139205,1605139205,0,0
540,active,1605135281,1,1,0,0,21,3396,4,1,1,False,3396,,,1605139205,1605139205,2,0
541,active,1605135733,1,1,0,1,7,3397,17,1,0,False,3397,,,1605139205,1605139205,1,0
