,num_bikes_available,num_bikes_disabled,num_docks_available,is_installed,last_reported,station_status,station_id,num_docks_disabled,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
696,14,1,2,1,1604660308,active,3604,0,1,1,False,2,3604,,,1604660405,1604660405,0,0
697,9,0,12,1,1604659319,active,3605,0,1,1,False,1,3605,,,1604660405,1604660405,0,1
698,7,0,14,1,1604646609,active,3606,0,1,1,False,1,3606,,,1604660405,1604660405,0,1
699,13,0,6,1,1604639702,active,3607,0,1,1,False,0,3607,,,1604660405,1604660405,0,1
700,1,0,20,1,1604635996,active,3608,0,1,1,False,0,3608,,,1604660405,1604660405,1,0
701,23,0,0,1,1604636036,active,3609,0,1,1,False,0,3609,,,1604660405,1604660405,0,0
702,25,0,1,1,1604637519,active,3610,1,1,1,False,2,3610,,,1604660405,1604660405,0,0
703,9,0,22,1,1604637393,active,3611,0,1,1,False,0,3611,,,1604660405,1604660405,0,1
704,7,0,8,1,1604642506,active,3612,0,1,1,False,0,3612,,,1604660405,1604660405,0,0
705,2,1,24,1,1604635999,active,3613,0,1,1,False,2,3613,,,1604660405,1604660405,0,1
706,2,0,10,1,1604658393,active,3614,0,1,1,False,1,3614,,,1604660405,1604660405,0,1
707,2,0,19,1,1604639174,active,3615,0,1,1,False,1,3615,,,1604660405,1604660405,1,0
708,7,0,18,1,1604648798,active,3616,0,1,1,False,3,3616,,,1604660405,1604660405,0,1
709,6,1,4,1,1604659534,active,3617,0,1,1,False,3,3617,,,1604660405,1604660405,0,2
710,13,0,20,1,1604651394,active,3618,0,1,1,False,3,3618,,,1604660405,1604660405,0,3
711,16,0,3,1,1604648944,active,3619,0,1,1,False,6,3619,,,1604660405,1604660405,1,0
712,0,0,23,1,1604635977,active,3620,0,1,1,False,0,3620,,,1604660405,1604660405,0,0
713,18,1,0,1,1604639344,active,3621,0,1,1,False,2,3621,,,1604660405,1604660405,0,1
714,6,1,16,1,1604659192,active,3622,0,1,1,False,1,3622,,,1604660405,1604660405,0,1
715,3,1,35,1,1604644507,active,3623,0,1,1,False,2,3623,,,1604660405,1604660405,0,0
716,16,1,14,1,1604637760,active,3628,0,1,1,False,0,3628,,,1604660405,1604660405,0,0
717,18,0,15,1,1604656956,active,3629,0,1,1,False,1,3629,,,1604660405,1604660405,5,0
718,22,0,11,1,1604659347,active,3630,0,1,1,False,0,3630,,,1604660405,1604660405,0,1
719,19,0,24,1,1604659974,active,3635,0,1,1,False,2,3635,,,1604660405,1604660405,0,4
720,14,1,16,1,1604649768,active,3637,0,1,1,False,1,3637,,,1604660405,1604660405,2,0
721,9,1,8,1,1604636005,active,3638,0,1,1,False,0,3638,,,1604660405,1604660405,0,0
722,15,1,14,1,1604635952,active,3639,0,1,1,False,0,3639,,,1604660405,1604660405,0,0
723,3,0,15,1,1604636242,active,3640,0,0,0,False,0,3640,,,1604660405,1604660405,0,0
724,3,0,51,1,1604659336,active,3641,0,1,1,False,0,3641,,,1604660405,1604660405,1,0
725,10,0,6,1,1604638624,active,3646,10,1,1,False,2,3646,,,1604660405,1604660405,0,0
726,23,0,0,1,1604651400,active,3647,0,1,1,False,2,3647,,,1604660405,1604660405,0,0
727,4,1,20,1,1604636759,active,3648,0,1,1,False,0,3648,,,1604660405,1604660405,2,0
728,1,0,29,1,1604652464,active,3649,0,1,1,False,1,3649,,,1604660405,1604660405,0,0
729,0,0,35,1,1604653774,active,3654,0,1,1,False,0,3654,,,1604660405,1604660405,1,0
730,45,0,1,1,1604641909,active,3656,0,1,1,False,0,3656,,,1604660405,1604660405,0,0
731,11,0,16,1,1604658975,active,3658,0,1,1,False,0,3658,,,1604660405,1604660405,2,0
732,18,0,1,1,1604650033,active,3661,0,1,1,False,6,3661,,,1604660405,1604660405,0,0
733,1,1,28,1,1604660233,active,3664,0,1,1,False,0,3664,,,1604660405,1604660405,11,0
734,23,1,2,1,1604648957,active,3668,0,1,1,False,0,3668,,,1604660405,1604660405,0,0
735,8,0,29,1,1604659456,active,3671,0,1,1,False,0,3671,,,1604660405,1604660405,0,4
736,6,0,15,1,1604654959,active,3673,0,1,1,False,1,3673,,,1604660405,1604660405,0,2
737,3,1,23,1,1604655940,active,3674,0,1,1,False,2,3674,,,1604660405,1604660405,0,0
738,17,0,7,1,1604641732,active,3676,0,1,1,False,3,3676,,,1604660405,1604660405,0,0
739,1,0,17,1,1604635956,active,3677,0,1,1,False,0,3677,,,1604660405,1604660405,0,0
740,1,0,17,1,1604659308,active,3678,0,1,1,False,0,3678,,,1604660405,1604660405,0,1
741,4,0,10,1,1604658573,active,3679,0,1,1,False,0,3679,,,1604660405,1604660405,0,0
742,5,1,49,1,1604659818,active,3680,0,1,1,False,3,3680,,,1604660405,1604660405,5,0
743,17,0,1,1,1604636104,active,3681,0,1,1,False,0,3681,,,1604660405,1604660405,0,0
744,25,1,13,1,1604653054,active,3686,0,1,1,False,0,3686,,,1604660405,1604660405,0,0
745,14,1,68,1,1604660312,active,3687,0,1,1,False,3,3687,,,1604660405,1604660405,25,0
746,8,0,39,1,1604659728,active,3689,0,1,1,False,4,3689,,,1604660405,1604660405,0,1
747,0,0,36,1,1604658495,active,3690,0,1,1,False,0,3690,,,1604660405,1604660405,1,0
748,15,0,4,1,1604656656,active,3691,0,1,1,False,5,3691,,,1604660405,1604660405,0,3
749,21,0,6,1,1604639735,active,3693,0,1,1,False,0,3693,,,1604660405,1604660405,1,0
750,4,0,14,1,1604655308,active,3694,0,1,1,False,0,3694,,,1604660405,1604660405,0,2
751,31,1,11,1,1604655835,active,3697,0,1,1,False,11,3697,,,1604660405,1604660405,0,7
