,legacy_id,station_status,is_returning,station_id,num_bikes_available,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,valet,eightd_active_station_services,starttime,timestamp,demand,supply
823,3804,active,1,3804,19,False,1604696382,1,0,1,1,4,0,,,1604696400,1604696400,3,0
824,3808,active,1,3808,3,False,1604696223,1,0,0,1,16,0,,,1604696400,1604696400,0,1
825,3809,active,1,3809,39,False,1604696337,1,0,0,1,14,6,,,1604696400,1604696400,1,0
826,3811,active,1,3811,16,False,1604694180,1,0,0,1,3,0,,,1604696400,1604696400,1,0
827,3812,active,1,3812,34,False,1604696388,1,0,2,1,13,0,,,1604696400,1604696400,0,2
828,3813,active,1,3813,36,True,1604696260,1,0,0,1,13,0,,,1604696400,1604696400,2,0
829,3814,active,0,3814,0,False,1604636743,1,23,0,0,0,0,,,1604696400,1604696400,0,0
830,3815,active,1,3815,21,False,1604696379,1,0,3,1,17,1,,,1604696400,1604696400,2,0
831,3816,active,1,3816,9,False,1604636714,1,0,0,1,15,0,,,1604696400,1604696400,0,0
832,3817,active,1,3817,2,False,1604694233,1,0,0,1,16,0,,,1604696400,1604696400,0,0
833,3818,active,1,3818,3,False,1604696276,1,0,1,1,22,0,,,1604696400,1604696400,0,1
834,3819,active,1,3819,16,False,1604695784,1,0,0,1,4,0,,,1604696400,1604696400,3,0
835,3820,active,1,3820,1,False,1604694132,1,0,0,1,18,0,,,1604696400,1604696400,0,0
836,3821,active,1,3821,3,False,1604695611,1,0,1,1,21,0,,,1604696400,1604696400,0,2
837,3822,active,1,3822,0,False,1604695009,1,0,1,1,19,0,,,1604696400,1604696400,4,0
838,3823,active,1,3823,24,False,1604695730,1,0,0,1,6,0,,,1604696400,1604696400,1,0
839,3824,active,1,3824,9,False,1604696176,1,0,1,1,13,4,,,1604696400,1604696400,0,1
840,3825,active,1,3825,4,False,1604694463,1,0,0,1,25,0,,,1604696400,1604696400,1,0
841,3826,active,1,3826,0,False,1604695633,1,0,0,1,18,0,,,1604696400,1604696400,1,0
842,3827,active,1,3827,0,False,1604696310,1,0,1,1,19,0,,,1604696400,1604696400,1,0
843,3828,active,1,3828,0,False,1604691482,1,0,1,1,21,0,,,1604696400,1604696400,3,0
