,num_ebikes_available,num_bikes_disabled,station_status,num_bikes_available,station_id,is_renting,eightd_has_available_keys,num_docks_available,is_installed,last_reported,is_returning,legacy_id,num_docks_disabled,eightd_active_station_services,valet,starttime,timestamp,demand,supply
253,3,2,active,25,2000,1,False,30,1,1604634890,1,2000,0,,,1604635195,1604635195,0,3
254,1,2,active,22,2002,1,False,3,1,1604635126,1,2002,0,,,1604635195,1604635195,0,0
255,13,3,active,35,2003,1,False,16,1,1604634876,1,2003,0,,,1604635195,1604635195,2,0
256,0,1,active,6,2005,1,False,5,1,1604619410,1,2005,0,,,1604635195,1604635195,0,0
257,1,1,active,5,2006,1,True,43,1,1604631040,1,2006,0,,,1604635195,1604635195,0,2
258,2,2,active,22,2008,1,True,0,1,1604635000,1,2008,0,,,1604635195,1604635195,0,0
259,0,2,active,23,2009,1,False,10,1,1604634937,1,2009,0,,,1604635195,1604635195,5,0
260,0,3,active,22,2010,1,False,40,1,1604634329,1,2010,0,,,1604635195,1604635195,2,0
261,0,1,active,3,2012,1,False,31,1,1604634963,1,2012,0,,,1604635195,1604635195,0,1
262,0,1,active,9,2017,1,False,29,1,1604634871,1,2017,0,,,1604635195,1604635195,0,0
263,6,2,active,37,2021,1,False,26,1,1604634984,1,2021,0,,,1604635195,1604635195,7,0
264,0,0,active,1,2022,1,False,32,1,1604627403,1,2022,0,,,1604635195,1604635195,0,0
265,1,4,active,46,3016,1,False,4,1,1604635030,1,3016,0,,,1604635195,1604635195,0,6
266,1,0,active,9,3041,1,False,15,1,1604635147,1,3041,0,,,1604635195,1604635195,0,2
267,9,0,active,15,3042,1,False,4,1,1604634958,1,3042,0,,,1604635195,1604635195,0,2
268,0,0,active,2,3043,1,False,17,1,1604633469,1,3043,0,,,1604635195,1604635195,0,0
269,1,1,active,3,3044,1,False,23,1,1604629122,1,3044,0,,,1604635195,1604635195,1,0
270,0,0,active,2,3046,1,False,17,1,1604628036,1,3046,0,,,1604635195,1604635195,1,0
271,0,0,active,3,3047,1,False,18,1,1604634799,1,3047,0,,,1604635195,1604635195,0,0
272,2,2,active,5,3048,1,False,12,1,1604629689,1,3048,0,,,1604635195,1604635195,0,2
273,1,2,active,6,3049,1,False,10,1,1604634868,1,3049,0,,,1604635195,1604635195,1,0
274,2,1,active,8,3050,1,False,11,1,1604631405,1,3050,0,,,1604635195,1604635195,0,0
275,2,3,active,8,3052,1,False,12,1,1604632523,1,3052,0,,,1604635195,1604635195,1,0
276,0,1,active,4,3053,1,False,18,1,1604633188,1,3053,0,,,1604635195,1604635195,0,0
277,1,1,active,5,3054,1,False,13,1,1604632551,1,3054,0,,,1604635195,1604635195,0,1
278,0,1,active,7,3055,1,False,15,1,1604634947,1,3055,0,,,1604635195,1604635195,0,0
279,4,1,active,16,3056,1,False,6,1,1604634143,1,3056,0,,,1604635195,1604635195,1,0
280,1,3,active,6,3057,1,False,9,1,1604634356,1,3057,0,,,1604635195,1604635195,1,0
281,3,1,active,11,3058,1,False,12,1,1604633776,1,3058,0,,,1604635195,1604635195,2,0
282,1,0,active,2,3059,1,False,17,1,1604633799,1,3059,0,,,1604635195,1604635195,0,2
