,num_docks_available,num_bikes_disabled,is_returning,last_reported,station_status,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,is_installed,num_bikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
534,8,1,1,1604685519,active,1,0,3390,0,1,15,3390,False,,,1604685595,1604685595,4.0,0.0
535,11,0,1,1604685189,active,1,0,3391,0,1,14,3391,False,,,1604685595,1604685595,0.0,2.0
536,0,0,1,1604685007,active,1,0,3392,0,1,19,3392,False,,,1604685595,1604685595,0.0,2.0
537,1,0,1,1604685134,active,1,0,3393,0,1,18,3393,False,,,1604685595,1604685595,0.0,0.0
538,1,1,1,1604681911,active,1,0,3394,0,1,19,3394,False,,,1604685595,1604685595,1.0,0.0
539,4,0,1,1604684038,active,1,0,3395,0,1,15,3395,False,,,1604685595,1604685595,3.0,0.0
540,22,0,1,1604683690,active,1,1,3396,0,1,3,3396,False,,,1604685595,1604685595,0.0,0.0
541,6,0,1,1604685046,active,1,0,3397,0,1,19,3397,False,,,1604685595,1604685595,1.0,0.0
542,7,0,1,1604683006,active,1,0,3398,0,1,16,3398,False,,,1604685595,1604685595,2.0,0.0
543,1,0,1,1604680666,active,1,0,3399,0,1,23,3399,False,,,1604685595,1604685595,0.0,0.0
544,12,1,1,1604685217,active,1,0,3400,0,1,11,3400,True,,,1604685595,1604685595,0.0,3.0
545,3,0,1,1604685360,active,1,0,3402,0,1,20,3402,False,,,1604685595,1604685595,0.0,2.0
546,3,1,1,1604683260,active,1,0,3403,0,1,27,3403,False,,,1604685595,1604685595,2.0,0.0
547,6,0,1,1604682713,active,1,0,3404,0,1,21,3404,False,,,1604685595,1604685595,0.0,1.0
548,10,0,1,1604684994,active,1,0,3405,0,1,13,3405,False,,,1604685595,1604685595,0.0,0.0
549,2,0,1,1604683265,active,1,0,3407,0,1,21,3407,False,,,1604685595,1604685595,1.0,0.0
550,17,1,1,1604685020,active,1,0,3408,0,1,9,3408,False,,,1604685595,1604685595,0.0,5.0
551,10,1,1,1604685582,active,1,0,3409,0,1,37,3409,False,,,1604685595,1604685595,0.0,1.0
552,9,0,1,1604685569,active,1,1,3410,0,1,68,3410,False,,,1604685595,1604685595,0.0,0.0
553,5,0,1,1604685552,active,1,0,3411,0,1,22,3411,False,,,1604685595,1604685595,0.0,0.0
554,8,1,1,1604682402,active,1,0,3412,0,1,9,3412,False,,,1604685595,1604685595,3.0,0.0
555,15,0,1,1604685525,active,1,1,3414,0,1,18,3414,False,,,1604685595,1604685595,0.0,3.0
556,24,0,1,1604685026,active,1,0,3415,0,1,1,3415,False,,,1604685595,1604685595,0.0,0.0
557,20,0,1,1604684257,active,1,0,3416,1,1,4,3416,False,,,1604685595,1604685595,0.0,0.0
558,8,0,1,1604685458,active,1,0,3417,0,1,19,3417,False,,,1604685595,1604685595,1.0,0.0
559,20,1,1,1604684726,active,1,6,3418,0,1,12,3418,False,,,1604685595,1604685595,0.0,7.0
560,3,0,1,1604685209,active,1,0,3419,0,1,24,3419,False,,,1604685595,1604685595,0.0,0.0
561,0,0,1,1604682706,active,1,0,3420,0,1,21,3420,False,,,1604685595,1604685595,0.0,5.0
562,3,1,1,1604681557,active,1,0,3421,0,1,19,3421,False,,,1604685595,1604685595,0.0,2.0
563,4,1,1,1604685407,active,1,0,3422,0,1,16,3422,False,,,1604685595,1604685595,0.0,0.0
564,20,5,1,1604685229,active,1,0,3423,0,1,4,3423,True,,,1604685595,1604685595,1.0,0.0
565,5,0,1,1604681230,active,1,0,3424,0,1,22,3424,False,,,1604685595,1604685595,0.0,0.0
566,6,1,1,1604685267,active,1,1,3425,0,1,26,3425,False,,,1604685595,1604685595,1.0,0.0
567,22,1,1,1604685558,active,1,0,3429,0,1,16,3429,False,,,1604685595,1604685595,1.0,0.0
568,23,0,1,1604685541,active,1,0,3430,0,1,2,3430,False,,,1604685595,1604685595,1.0,0.0
569,22,0,1,1604685496,active,1,3,3435,0,1,23,3435,False,,,1604685595,1604685595,0.0,3.0
