,station_status,station_id,is_renting,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,legacy_id,last_reported,num_docks_available,is_installed,eightd_active_station_services,valet,starttime,timestamp,demand,supply
152,active,410,1,1,0,16,0,5,False,410,1605236263,24,1,,,1605236395,1605236395,0,3
153,active,411,1,1,0,16,5,0,False,411,1605236143,15,1,,,1605236395,1605236395,0,0
154,active,412,1,1,0,27,2,2,False,412,1605236204,0,1,,,1605236395,1605236395,0,2
155,active,415,1,1,0,11,0,2,False,415,1605236138,33,1,,,1605236395,1605236395,0,0
156,active,416,1,1,0,3,0,0,False,416,1605235486,28,1,,,1605236395,1605236395,0,0
157,active,417,1,1,0,2,0,0,False,417,1605236157,23,1,,,1605236395,1605236395,0,1
158,active,418,1,1,0,32,0,0,False,418,1605232170,5,1,,,1605236395,1605236395,0,0
159,active,419,1,1,0,5,1,1,False,419,1605236251,17,1,,,1605236395,1605236395,1,0
160,active,420,1,1,0,4,1,2,False,420,1605235801,45,1,,,1605236395,1605236395,0,0
161,active,421,1,1,0,4,0,3,False,421,1605236041,12,1,,,1605236395,1605236395,0,0
162,active,422,1,1,0,21,6,6,False,422,1605236290,51,1,,,1605236395,1605236395,24,0
163,active,423,1,1,0,3,0,1,False,423,1605236112,23,1,,,1605236395,1605236395,0,2
164,active,426,1,1,0,11,0,3,True,426,1605235486,16,1,,,1605236395,1605236395,0,1
165,active,427,1,1,0,36,1,1,False,427,1605233040,10,1,,,1605236395,1605236395,1,0
166,active,432,1,1,0,13,3,1,False,432,1605236252,17,1,,,1605236395,1605236395,2,0
167,active,434,1,1,0,41,0,1,False,434,1605236294,18,1,,,1605236395,1605236395,1,0
168,active,435,1,1,0,23,0,1,False,435,1605235922,26,1,,,1605236395,1605236395,0,1
169,active,436,1,1,0,3,0,0,False,436,1605235391,24,1,,,1605236395,1605236395,0,2
170,active,437,1,1,0,3,2,0,False,437,1605235409,21,1,,,1605236395,1605236395,0,0
171,active,438,1,1,0,36,1,1,False,438,1605235949,10,1,,,1605236395,1605236395,0,6
172,active,439,1,1,0,12,2,1,False,439,1605236120,30,1,,,1605236395,1605236395,0,0
173,active,440,1,1,0,5,1,0,False,440,1605236300,27,1,,,1605236395,1605236395,0,1
174,active,442,1,1,0,22,0,0,False,442,1605234929,29,1,,,1605236395,1605236395,0,1
175,active,443,1,1,0,3,1,2,False,443,1605234446,18,1,,,1605236395,1605236395,0,1
176,active,445,1,1,0,68,7,1,False,445,1605235569,11,1,,,1605236395,1605236395,0,5
177,active,446,1,1,0,6,0,2,False,446,1605235023,71,1,,,1605236395,1605236395,0,0
178,active,447,1,1,1,20,3,0,False,447,1605236257,10,1,,,1605236395,1605236395,0,3
179,active,448,1,1,0,15,9,0,False,448,1605235614,12,1,,,1605236395,1605236395,0,0
180,active,450,1,1,0,20,2,4,False,450,1605235819,43,1,,,1605236395,1605236395,2,0
181,active,453,1,1,0,58,1,2,False,453,1605236379,6,1,,,1605236395,1605236395,3,0
182,active,454,1,1,0,14,1,3,False,454,1605235445,18,1,,,1605236395,1605236395,2,0
183,active,455,1,1,0,7,0,1,False,455,1605234570,51,1,,,1605236395,1605236395,0,0
184,active,456,1,1,0,0,0,1,False,456,1605230089,33,1,,,1605236395,1605236395,0,0
185,active,457,1,1,0,13,0,1,False,457,1605234618,65,1,,,1605236395,1605236395,1,0
186,active,458,1,1,0,7,2,1,False,458,1605235455,23,1,,,1605236395,1605236395,1,0
187,active,460,1,1,0,8,0,3,False,460,1605236251,14,1,,,1605236395,1605236395,3,0
188,active,461,1,1,0,21,4,1,False,461,1605236277,34,1,,,1605236395,1605236395,3,0
189,active,462,1,1,0,61,4,1,False,462,1605236383,15,1,,,1605236395,1605236395,0,3
190,active,464,1,1,1,0,0,0,False,464,1605231726,52,1,,,1605236395,1605236395,0,0
191,active,465,0,0,0,12,0,3,False,465,1605235911,24,1,,,1605236395,1605236395,3,0
192,active,466,1,1,8,13,0,2,False,466,1605236117,12,1,,,1605236395,1605236395,0,5
193,active,467,1,1,0,33,1,0,False,467,1605234578,1,1,,,1605236395,1605236395,0,1
194,active,468,1,1,0,30,0,3,False,468,1605234659,32,1,,,1605236395,1605236395,0,2
195,active,469,1,1,0,8,0,0,False,469,1605236039,49,1,,,1605236395,1605236395,0,0
196,active,470,1,1,0,71,6,0,False,470,1605235782,1,1,,,1605236395,1605236395,0,1
197,active,471,1,1,0,19,2,0,False,471,1605234671,12,1,,,1605236395,1605236395,0,1
198,active,472,1,1,0,7,1,1,False,472,1605236160,47,1,,,1605236395,1605236395,1,0
199,active,473,1,1,0,47,0,1,False,473,1605236295,16,1,,,1605236395,1605236395,1,0
200,active,474,1,1,0,31,1,3,False,474,1605235918,22,1,,,1605236395,1605236395,0,1
201,active,476,1,1,0,57,1,1,False,476,1605236350,7,1,,,1605236395,1605236395,0,3
202,active,477,1,1,1,62,18,3,False,477,1605236273,5,1,,,1605236395,1605236395,0,5
203,active,478,1,1,0,23,6,5,False,478,1605235762,9,1,,,1605236395,1605236395,4,0
204,active,479,1,1,0,4,0,0,False,479,1605235749,27,1,,,1605236395,1605236395,7,0
205,active,480,1,1,0,14,4,1,False,480,1605236241,14,1,,,1605236395,1605236395,0,2
206,active,481,1,1,0,10,1,1,False,481,1605236335,14,1,,,1605236395,1605236395,0,2
207,active,482,1,1,0,77,4,1,False,482,1605235379,0,1,,,1605236395,1605236395,0,2
208,active,483,1,1,0,4,1,1,False,483,1605235039,29,1,,,1605236395,1605236395,8,0
209,active,484,1,1,0,8,0,3,False,484,1605236017,35,1,,,1605236395,1605236395,0,0
210,active,485,1,1,0,1,1,0,False,485,1605235674,39,1,,,1605236395,1605236395,0,0
211,active,486,1,1,0,3,0,1,False,486,1605235637,37,1,,,1605236395,1605236395,2,0
212,active,487,1,1,0,29,5,2,False,487,1605236084,4,1,,,1605236395,1605236395,2,0
213,active,489,1,1,0,28,2,2,False,489,1605234786,19,1,,,1605236395,1605236395,0,0
214,active,490,1,1,0,51,0,1,False,490,1605236296,14,1,,,1605236395,1605236395,0,1
215,active,492,1,1,1,54,15,0,False,492,1605235974,13,1,,,1605236395,1605236395,0,1
216,active,493,1,1,0,12,0,0,False,493,1605234192,22,1,,,1605236395,1605236395,0,0
