,legacy_id,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,num_bikes_available,num_bikes_disabled,is_renting,last_reported,is_installed,num_docks_disabled,is_returning,station_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
202,477,6,active,False,11,58,1,1,1604980607,1,1,1,477,,,1604980805,1604980805,0,0
203,478,1,active,False,3,29,5,1,1604980497,1,0,1,478,,,1604980805,1604980805,0,0
204,479,1,active,False,2,25,4,1,1604979964,1,0,1,479,,,1604980805,1604980805,1,0
205,480,2,active,False,8,19,2,1,1604980733,1,0,1,480,,,1604980805,1604980805,4,0
206,481,1,active,False,8,15,2,1,1604980491,1,0,1,481,,,1604980805,1604980805,0,0
207,482,2,active,False,0,77,2,1,1604980762,1,0,1,482,,,1604980805,1604980805,0,0
208,483,0,active,False,6,27,1,1,1604980051,1,0,1,483,,,1604980805,1604980805,0,0
209,484,0,active,False,42,0,4,1,1604978554,1,0,1,484,,,1604980805,1604980805,2,0
210,485,0,active,False,36,2,2,1,1604980161,1,0,1,485,,,1604980805,1604980805,0,1
211,486,0,active,False,34,1,6,1,1604980207,1,0,1,486,,,1604980805,1604980805,0,1
212,487,1,active,False,0,34,1,1,1604980799,1,0,1,487,,,1604980805,1604980805,0,1
213,489,0,active,False,13,35,1,1,1604980089,1,0,1,489,,,1604980805,1604980805,0,1
214,490,2,active,False,55,10,1,1,1604980071,1,0,1,490,,,1604980805,1604980805,2,0
215,492,0,active,False,27,36,5,1,1604980728,1,0,1,492,,,1604980805,1604980805,0,3
216,493,0,active,False,30,1,3,1,1604979415,1,0,1,493,,,1604980805,1604980805,0,1
217,494,1,active,False,31,33,2,1,1604980246,1,0,1,494,,,1604980805,1604980805,0,0
218,495,3,active,False,2,35,2,1,1604979732,1,0,1,495,,,1604980805,1604980805,2,0
219,496,0,active,False,17,46,2,1,1604979081,1,0,1,496,,,1604980805,1604980805,0,1
220,497,0,active,False,35,25,6,1,1604980585,1,0,1,497,,,1604980805,1604980805,1,0
221,499,0,active,True,28,6,2,1,1604980451,1,0,1,499,,,1604980805,1604980805,0,2
222,500,0,active,False,50,2,0,1,1604978477,1,0,1,500,,,1604980805,1604980805,0,2
223,501,1,active,False,28,54,1,1,1604978770,1,0,1,501,,,1604980805,1604980805,0,1
224,502,0,active,False,0,35,1,1,1604979763,1,0,1,502,,,1604980805,1604980805,0,0
225,503,0,active,False,20,10,1,1,1604980438,1,0,1,503,,,1604980805,1604980805,4,0
226,504,0,active,False,5,43,6,1,1604980335,1,0,1,504,,,1604980805,1604980805,3,0
227,505,0,active,False,43,1,8,1,1604980689,1,0,1,505,,,1604980805,1604980805,0,0
228,507,0,active,False,1,40,4,1,1604980753,1,0,1,507,,,1604980805,1604980805,1,0
229,508,5,active,False,1,22,2,1,1604980043,1,0,1,508,,,1604980805,1604980805,0,0
230,509,1,active,False,0,57,4,1,1604979691,1,0,1,509,,,1604980805,1604980805,0,0
231,510,0,active,False,54,0,1,1,1604973465,1,0,1,510,,,1604980805,1604980805,0,0
232,513,1,active,False,24,5,0,1,1604979487,1,0,1,513,,,1604980805,1604980805,1,0
233,514,3,active,True,0,50,2,1,1604979752,1,0,1,514,,,1604980805,1604980805,0,1
234,515,1,active,False,26,50,3,1,1604980563,1,0,1,515,,,1604980805,1604980805,3,0
235,516,0,active,False,24,6,1,1,1604980372,1,0,1,516,,,1604980805,1604980805,2,0
236,517,1,active,False,57,11,1,1,1604980743,1,0,1,517,,,1604980805,1604980805,0,2
237,519,0,active,False,66,1,2,1,1604980586,1,0,1,519,,,1604980805,1604980805,0,0
238,522,0,active,False,50,0,1,1,1604980606,1,0,1,522,,,1604980805,1604980805,0,0
239,525,0,active,False,40,13,3,1,1604980288,1,0,1,525,,,1604980805,1604980805,1,0
240,526,0,active,False,38,0,2,1,1604979610,1,0,1,526,,,1604980805,1604980805,0,0
241,528,0,active,False,2,34,3,1,1604979780,1,0,1,528,,,1604980805,1604980805,0,0
242,529,2,active,False,8,33,0,1,1604979845,1,0,1,529,,,1604980805,1604980805,2,0
243,530,0,active,False,1,19,4,1,1604980391,1,0,1,530,,,1604980805,1604980805,0,0
244,531,0,active,False,13,47,0,1,1604980424,1,0,1,531,,,1604980805,1604980805,1,0
245,532,3,active,False,14,26,3,1,1604980425,1,0,1,532,,,1604980805,1604980805,0,2
246,533,0,active,False,45,1,0,1,1604979316,1,0,1,533,,,1604980805,1604980805,0,0
247,534,0,active,False,11,19,1,1,1604978777,1,0,1,534,,,1604980805,1604980805,0,1
248,536,2,active,False,20,4,4,1,1604980628,1,0,1,536,,,1604980805,1604980805,1,0
249,539,0,active,False,6,25,0,1,1604980036,1,0,1,539,,,1604980805,1604980805,1,0
250,540,0,active,False,37,15,2,1,1604980753,1,0,1,540,,,1604980805,1604980805,0,0
251,545,0,active,False,1,25,1,1,1604980351,1,0,1,545,,,1604980805,1604980805,0,1
