,is_installed,is_renting,legacy_id,station_id,num_bikes_available,num_ebikes_available,num_docks_disabled,is_returning,eightd_has_available_keys,station_status,num_bikes_disabled,num_docks_available,last_reported,eightd_active_station_services,valet,starttime,timestamp,demand,supply
544,1,1,3400,3400,22,3,0,1,True,active,0,2,1605278312,,,1605279595,1605279595,0,5
545,1,1,3402,3402,21,0,0,1,False,active,0,2,1605279040,,,1605279595,1605279595,0,3
546,1,1,3403,3403,31,1,0,1,False,active,0,0,1605277749,,,1605279595,1605279595,0,1
547,1,1,3404,3404,25,4,0,1,False,active,0,2,1605278059,,,1605279595,1605279595,1,0
548,1,1,3405,3405,2,0,0,1,False,active,0,21,1605278107,,,1605279595,1605279595,0,0
549,1,1,3407,3407,14,2,0,1,False,active,0,9,1605275731,,,1605279595,1605279595,1,0
550,1,1,3408,3408,6,0,0,1,False,active,1,20,1605277689,,,1605279595,1605279595,0,1
551,1,1,3409,3409,38,0,0,1,False,active,0,10,1605277834,,,1605279595,1605279595,0,2
552,1,1,3410,3410,73,1,0,1,False,active,0,4,1605279080,,,1605279595,1605279595,0,1
553,1,1,3411,3411,25,0,0,1,False,active,0,2,1605276006,,,1605279595,1605279595,0,0
554,1,1,3412,3412,16,1,0,1,False,active,0,2,1605277182,,,1605279595,1605279595,1,0
555,1,1,3414,3414,12,0,0,1,False,active,1,20,1605278846,,,1605279595,1605279595,0,1
556,1,1,3415,3415,8,1,0,1,False,active,0,17,1605277318,,,1605279595,1605279595,0,0
557,1,1,3416,3416,5,1,1,1,False,active,0,19,1605278519,,,1605279595,1605279595,0,0
558,1,1,3417,3417,23,0,0,1,False,active,0,4,1605279357,,,1605279595,1605279595,0,0
559,1,1,3418,3418,14,0,0,1,False,active,0,19,1605275974,,,1605279595,1605279595,0,1
560,1,1,3419,3419,25,2,0,1,False,active,0,2,1605275255,,,1605279595,1605279595,0,1
561,1,1,3420,3420,16,0,0,1,False,active,0,5,1605274032,,,1605279595,1605279595,1,0
562,1,1,3421,3421,19,0,0,1,False,active,0,4,1605276492,,,1605279595,1605279595,0,0
563,1,1,3422,3422,19,0,0,1,False,active,0,2,1605274018,,,1605279595,1605279595,0,0
564,1,1,3423,3423,5,1,0,1,True,active,2,22,1605278278,,,1605279595,1605279595,0,1
565,1,1,3424,3424,21,3,0,1,False,active,0,6,1605279519,,,1605279595,1605279595,0,0
566,1,1,3425,3425,26,3,0,1,False,active,2,5,1605277674,,,1605279595,1605279595,2,0
567,1,1,3429,3429,18,0,0,1,False,active,0,21,1605279349,,,1605279595,1605279595,4,0
568,1,1,3430,3430,4,0,0,1,False,active,0,21,1605277622,,,1605279595,1605279595,1,0
569,1,1,3435,3435,34,2,0,1,False,active,4,7,1605278197,,,1605279595,1605279595,4,0
570,1,1,3436,3436,34,5,0,1,False,active,1,0,1605279389,,,1605279595,1605279595,0,0
571,1,1,3437,3437,9,3,1,1,False,active,1,28,1605277676,,,1605279595,1605279595,0,0
572,1,1,3440,3440,32,2,0,1,False,active,1,14,1605279501,,,1605279595,1605279595,2,0
573,1,1,3443,3443,27,11,0,1,False,active,1,12,1605278872,,,1605279595,1605279595,1,0
574,1,1,3452,3452,41,1,0,1,False,active,0,2,1605278470,,,1605279595,1605279595,0,0
575,1,1,3453,3453,3,0,0,1,False,active,1,15,1605278429,,,1605279595,1605279595,0,0
576,1,1,3454,3454,2,0,0,1,False,active,0,22,1605279092,,,1605279595,1605279595,0,0
577,1,1,3456,3456,1,1,0,1,False,active,0,21,1605273977,,,1605279595,1605279595,0,1
578,1,0,3457,3457,0,0,46,0,False,active,0,0,1605253033,,,1605279595,1605279595,0,0
579,1,1,3459,3459,1,1,0,1,False,active,0,40,1605278922,,,1605279595,1605279595,0,0
580,1,1,3461,3461,29,1,0,1,False,active,1,3,1605277504,,,1605279595,1605279595,0,0
581,1,1,3462,3462,20,6,0,1,False,active,0,19,1605277757,,,1605279595,1605279595,0,3
582,1,1,3463,3463,28,0,0,1,False,active,0,9,1605278592,,,1605279595,1605279595,0,2
583,1,0,3467,3467,44,8,0,0,False,active,0,0,1605277661,,,1605279595,1605279595,0,0
584,1,1,3469,3469,20,0,0,1,False,active,0,3,1605278433,,,1605279595,1605279595,0,0
585,1,1,3472,3472,36,4,0,1,False,active,0,3,1605279488,,,1605279595,1605279595,0,2
586,1,1,3477,3477,16,7,1,1,False,active,1,15,1605279475,,,1605279595,1605279595,0,0
587,1,1,3478,3478,35,1,0,1,False,active,0,8,1605276365,,,1605279595,1605279595,0,1
588,1,1,3481,3481,13,0,0,1,False,active,0,9,1605268267,,,1605279595,1605279595,0,0
589,1,1,3483,3483,8,0,0,1,False,active,0,6,1605277609,,,1605279595,1605279595,1,0
590,1,1,3486,3486,27,0,0,1,False,active,1,2,1605278993,,,1605279595,1605279595,1,0
