,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
154,412,26,False,1604238065,412,2,2,1,active,1,0,1,1,1604239360,1604239360,26,26
155,415,13,False,1604238073,415,31,1,2,active,1,0,1,1,1604239360,1604239360,13,13
156,416,11,False,1604239330,416,19,3,1,active,1,0,1,1,1604239360,1604239360,11,11
157,417,16,False,1604237661,417,9,0,0,active,1,0,1,1,1604239360,1604239360,16,16
158,418,25,False,1604239125,418,11,1,1,active,1,0,1,1,1604239360,1604239360,25,25
159,419,14,False,1604235081,419,9,1,0,active,1,0,1,1,1604239360,1604239360,14,14
160,420,15,False,1604238094,420,33,4,3,active,1,0,1,1,1604239360,1604239360,15,15
161,421,11,False,1604238982,421,8,1,0,active,1,0,1,1,1604239360,1604239360,11,11
162,422,42,False,1604238818,422,34,1,2,active,1,0,1,1,1604239360,1604239360,42,42
163,423,11,False,1604238037,423,15,3,1,active,1,0,1,1,1604239360,1604239360,11,11
164,426,20,True,1604239089,426,8,1,2,active,1,0,1,1,1604239360,1604239360,20,20
165,427,28,False,1604235308,427,18,1,1,active,1,0,1,1,1604239360,1604239360,28,28
166,432,29,False,1604239173,432,2,0,0,active,1,0,1,1,1604239360,1604239360,29,29
167,434,39,False,1604238527,434,20,1,1,active,1,0,1,1,1604239360,1604239360,39,39
168,435,25,False,1604238937,435,23,1,2,active,1,0,1,1,1604239360,1604239360,25,25
169,436,11,False,1604238652,436,15,4,1,active,1,0,1,1,1604239360,1604239360,11,11
170,437,8,False,1604238728,437,15,5,1,active,1,0,1,1,1604239360,1604239360,8,8
171,438,22,False,1604239271,438,25,1,0,active,1,0,1,1,1604239360,1604239360,22,22
172,439,36,False,1604238814,439,5,1,2,active,1,0,1,1,1604239360,1604239360,36,36
173,440,4,False,1604238870,440,28,0,0,active,1,0,1,1,1604239360,1604239360,4,4
174,442,19,False,1604238670,442,32,0,0,active,1,0,1,1,1604239360,1604239360,19,19
175,443,22,False,1604232207,443,0,1,1,active,1,0,1,1,1604239360,1604239360,22,22
176,445,67,False,1604239247,445,8,1,5,active,1,0,1,1,1604239360,1604239360,67,67
177,446,12,False,1604239220,446,65,0,2,active,1,0,1,1,1604239360,1604239360,12,12
178,447,16,False,1604239263,447,13,4,2,active,1,0,1,1,1604239360,1604239360,16,16
179,448,15,False,1604239193,448,10,0,2,active,1,0,1,1,1604239360,1604239360,15,15
180,450,22,False,1604239342,450,40,3,5,active,1,0,1,1,1604239360,1604239360,22,22
181,453,43,False,1604216149,453,4,2,2,active,1,0,1,1,1604239360,1604239360,43,43
182,454,1,False,1604238321,454,32,0,2,active,1,0,1,1,1604239360,1604239360,1,1
183,455,11,False,1604238775,455,48,0,0,active,1,0,1,1,1604239360,1604239360,11,11
184,456,0,False,1604220521,456,34,0,0,active,1,0,1,1,1604239360,1604239360,0,0
185,458,13,False,1604239233,458,17,2,1,active,1,0,1,1,1604239360,1604239360,13,13
