,station_id,is_renting,num_ebikes_available,station_status,last_reported,legacy_id,eightd_has_available_keys,num_docks_disabled,num_bikes_disabled,num_bikes_available,is_installed,is_returning,num_docks_available,eightd_active_station_services,valet,starttime,timestamp,demand,supply
814,3787,1,0,active,1604636776,3787,False,0,1,0,1,1,21,,,1604638805,1604638805,0,0
815,3789,1,2,active,1604636758,3789,False,0,1,7,1,1,23,,,1604638805,1604638805,0,0
816,3790,1,1,active,1604636666,3790,False,0,0,6,1,1,31,,,1604638805,1604638805,1,0
817,3791,1,0,active,1604636721,3791,False,0,1,25,1,1,6,,,1604638805,1604638805,1,0
818,3792,1,0,active,1604638274,3792,False,0,0,17,1,1,13,,,1604638805,1604638805,2,0
819,3795,1,1,active,1604636728,3795,False,0,0,19,1,1,0,,,1604638805,1604638805,0,0
820,3798,1,0,active,1604637176,3798,False,0,2,0,1,1,53,,,1604638805,1604638805,0,0
821,3799,1,0,active,1604637790,3799,False,0,1,33,1,1,33,,,1604638805,1604638805,2,0
822,3803,1,11,active,1604636948,3803,False,0,2,25,1,1,0,,,1604638805,1604638805,0,0
823,3804,1,0,active,1604636779,3804,False,0,1,3,1,1,20,,,1604638805,1604638805,0,0
824,3808,1,3,active,1604636871,3808,False,0,0,6,1,1,13,,,1604638805,1604638805,0,0
825,3809,1,0,active,1604638491,3809,False,0,2,2,1,1,49,,,1604638805,1604638805,0,2
826,3811,1,1,active,1604636691,3811,False,0,0,19,1,1,0,,,1604638805,1604638805,0,0
827,3812,1,1,active,1604638685,3812,False,0,3,23,1,1,23,,,1604638805,1604638805,2,0
828,3813,1,0,active,1604637875,3813,True,0,1,18,1,1,30,,,1604638805,1604638805,0,2
829,3814,0,0,active,1604636743,3814,False,23,0,0,1,0,0,,,1604638805,1604638805,0,0
830,3815,1,1,active,1604638611,3815,False,0,2,32,1,1,7,,,1604638805,1604638805,0,1
831,3816,1,0,active,1604636714,3816,False,0,0,9,1,1,15,,,1604638805,1604638805,0,0
832,3817,1,1,active,1604638638,3817,False,0,0,6,1,1,12,,,1604638805,1604638805,0,0
833,3818,1,1,active,1604638468,3818,False,0,2,3,1,1,28,,,1604638805,1604638805,0,1
834,3819,1,0,active,1604636753,3819,False,0,0,18,1,1,2,,,1604638805,1604638805,0,0
835,3820,1,2,active,1604637074,3820,False,0,0,11,1,1,8,,,1604638805,1604638805,0,0
836,3821,1,0,active,1604638550,3821,False,0,0,5,1,1,20,,,1604638805,1604638805,2,0
837,3822,1,0,active,1604637795,3822,False,0,0,3,1,1,17,,,1604638805,1604638805,0,0
838,3823,1,5,active,1604638743,3823,False,0,0,26,1,1,4,,,1604638805,1604638805,1,0
839,3824,1,2,active,1604624601,3824,False,0,0,5,1,1,18,,,1604638805,1604638805,1,0
840,3825,1,2,active,1604636775,3825,False,0,0,6,1,1,23,,,1604638805,1604638805,0,0
841,3826,1,0,active,1604636809,3826,False,0,0,0,1,1,18,,,1604638805,1604638805,0,0
842,3827,1,3,active,1604637956,3827,False,0,0,8,1,1,12,,,1604638805,1604638805,0,2
843,3828,1,2,active,1604636777,3828,False,0,0,3,1,1,19,,,1604638805,1604638805,0,0
844,3829,1,0,active,1604637565,3829,False,0,0,0,1,1,24,,,1604638805,1604638805,2,0
845,3830,1,1,active,1604637923,3830,False,0,0,2,1,1,20,,,1604638805,1604638805,0,1
846,3831,1,3,active,1604637937,3831,False,0,0,7,1,1,28,,,1604638805,1604638805,1,0
847,3832,1,0,active,1604638506,3832,False,0,0,2,1,1,19,,,1604638805,1604638805,1,0
